"person","timePeriod","office","from","to","dbin","dbout"
"http://dbpedia.org/resource/Charles_Maurice_de_Talleyrand-Périgord","http://dbpedia.org/resource/Charles_Maurice_de_Talleyrand-Périgord__1","Prime Minister of France","1815-07-09","1815-09-26","425","296"
"http://dbpedia.org/resource/Étienne_Constantin_de_Gerlache","http://dbpedia.org/resource/Étienne_Constantin_de_Gerlache__1","Prime Minister of Belgium","1831-02-25","1831-03-28","26","75"
"http://dbpedia.org/resource/Felix_de_Muelenaere","http://dbpedia.org/resource/Felix_de_Muelenaere__1","Prime Minister of Belgium","1831-07-21","1832-10-20","24","52"
"http://dbpedia.org/resource/Adolphe_Thiers","http://dbpedia.org/resource/Adolphe_Thiers__1","Prime Minister of France","1840-03-01","1840-10-29","283","190"
"http://dbpedia.org/resource/François_Guizot","http://dbpedia.org/resource/François_Guizot__1","Prime Minister of France","1847-09-18","1848-02-24","176","225"
"http://dbpedia.org/resource/Joseph_Lebeau","http://dbpedia.org/resource/Joseph_Lebeau__1","Prime Minister of Belgium","1840-04-18","1841-04-13","42","90"
"http://dbpedia.org/resource/Jean-Baptiste_Nothomb","http://dbpedia.org/resource/Jean-Baptiste_Nothomb__1","Prime Minister of Belgium","1841-04-13","1845-07-30","34","80"
"http://dbpedia.org/resource/José_Travassos_Valdez","_1st_Count_of_Bonfim","http://dbpedia.org/resource/José_Travassos_Valdez","_1st_Count_of_Bonfim__1","Prime Minister of Portugal","1839-11-26","1841-06-09","35","156"
"http://dbpedia.org/resource/Sylvain_Van_de_Weyer","http://dbpedia.org/resource/Sylvain_Van_de_Weyer__1","Prime Minister of Belgium","1845-07-30","1846-03-31","29","67"
"http://dbpedia.org/resource/Cesare_Balbo","http://dbpedia.org/resource/Cesare_Balbo__1","Prime Minister of Sardinia","1848-03-18","1848-07-27","16","28"
"http://dbpedia.org/resource/Cesare_Alfieri_di_Sostegno","http://dbpedia.org/resource/Cesare_Alfieri_di_Sostegno__1","Prime Minister of Sardinia","1848-08-15","1848-10-11","9","35"
"http://dbpedia.org/resource/Gabrio_Casati","http://dbpedia.org/resource/Gabrio_Casati__1","Prime Minister of Sardinia","1848-07-27","1848-08-15","9","57"
"http://dbpedia.org/resource/Rodrigo_Pinto_Pizarro_Pimentel_de_Almeida_Carvalhais","http://dbpedia.org/resource/Rodrigo_Pinto_Pizarro_Pimentel_de_Almeida_Carvalhais__1","Prime Minister of Portugal","1839-04-18","1839-11-26","-1","-1"
"http://dbpedia.org/resource/Henri_de_Brouckère","http://dbpedia.org/resource/Henri_de_Brouckère__1","Prime Minister of Belgium","1852-10-31","1855-03-30","26","58"
"http://dbpedia.org/resource/Vincenzo_Gioberti","http://dbpedia.org/resource/Vincenzo_Gioberti__1","Prime Minister of Sardinia","1848-12-16","1849-02-21","45","49"
"http://dbpedia.org/resource/Gaspard-Théodore-Ignace_de_la_Fontaine","http://dbpedia.org/resource/Gaspard-Théodore-Ignace_de_la_Fontaine__1","Prime Minister of Luxembourg","1848-08-01","1848-12-06","24","66"
"http://dbpedia.org/resource/Jean-Jacques_Willmar","http://dbpedia.org/resource/Jean-Jacques_Willmar__1","Prime Minister of Luxembourg","1848-12-06","1853-09-23","21","57"
"http://dbpedia.org/resource/Ettore_Perrone_di_San_Martino","http://dbpedia.org/resource/Ettore_Perrone_di_San_Martino__1","Prime Minister of Sardinia","1848-10-11","1848-12-16","18","50"
"http://dbpedia.org/resource/Pierre_de_Decker","http://dbpedia.org/resource/Pierre_de_Decker__1","Prime Minister of Belgium","1855-03-30","1857-11-09","18","64"
"http://dbpedia.org/resource/Charles-Mathias_Simons","http://dbpedia.org/resource/Charles-Mathias_Simons__1","Prime Minister of Luxembourg","1853-09-23","1860-09-26","33","66"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__1","Prime Minister of Portugal","1868-01-04","1868-07-22","36","112"
"http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst","http://dbpedia.org/resource/Chlodwig","_Prince_of_Hohenlohe-Schillingsfürst__3","Prime Minister of Bavaria","1866-12-31","1870-03-08","123","184"
"http://dbpedia.org/resource/Bettino_Ricasoli","http://dbpedia.org/resource/Bettino_Ricasoli__1","Prime Minister of Italy","1866-06-20","1867-04-10","64","71"
"http://dbpedia.org/resource/Ștefan_Golescu","http://dbpedia.org/resource/Ștefan_Golescu__3","Prime Minister of Romania","1867-11-26","1868-05-12","28","71"
"http://dbpedia.org/resource/Frederick_Weld","http://dbpedia.org/resource/Frederick_Weld__1","Prime Minister of New Zealand","1864-11-24","1865-10-16","125","187"
"http://dbpedia.org/resource/Victor_de_Tornaco","http://dbpedia.org/resource/Victor_de_Tornaco__1","Prime Minister of Luxembourg","1860-09-26","1867-12-03","25","65"
"http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama","http://dbpedia.org/resource/António_José_de_Ávila","_1st_Duke_of_Ávila_and_Bolama__2","Prime Minister of Portugal","1870-10-29","1871-09-13","36","112"
"http://dbpedia.org/resource/Barthélémy_de_Theux_de_Meylandt","http://dbpedia.org/resource/Barthélémy_de_Theux_de_Meylandt__1","Prime Minister of Belgium","1871-12-07","1874-08-21","42","69"
