"film","actor","date","dbin","dbout"
"http://dbpedia.org/resource/Destry_Rides_Again","http://dbpedia.org/resource/James_Stewart","1939-12-29","82","110"
"http://dbpedia.org/resource/Destry_Rides_Again","http://dbpedia.org/resource/Marlene_Dietrich","1939-12-29","82","110"
"http://dbpedia.org/resource/Destry_Rides_Again","http://dbpedia.org/resource/Brian_Donlevy","1939-12-29","82","110"
"http://dbpedia.org/resource/Destry_Rides_Again","http://dbpedia.org/resource/Mischa_Auer","1939-12-29","82","110"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Robert_De_Niro","1973-10-02","125","96"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Amy_Robinson","1973-10-02","125","96"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Richard_Romanus","1973-10-02","125","96"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/David_Proval","1973-10-02","125","96"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Cesare_Danova","1973-10-02","125","96"
"http://dbpedia.org/resource/Mean_Streets","http://dbpedia.org/resource/Harvey_Keitel","1973-10-02","125","96"
"http://dbpedia.org/resource/Original_Sin_(2001_film)","http://dbpedia.org/resource/Angelina_Jolie","2001-08-03","34","88"
"http://dbpedia.org/resource/Original_Sin_(2001_film)","http://dbpedia.org/resource/Jack_Thompson_(actor)","2001-08-03","34","88"
"http://dbpedia.org/resource/Original_Sin_(2001_film)","http://dbpedia.org/resource/Antonio_Banderas","2001-08-03","34","88"
"http://dbpedia.org/resource/Original_Sin_(2001_film)","http://dbpedia.org/resource/Thomas_Jane","2001-08-03","34","88"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Rolf_Just_Nilsen","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Per_Theodor_Haugen","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Helge_Reiss","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Kari_Simonsen","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Harald_Heide-Steen_Jr.","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Henki_Kolstad","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Leif_Juster","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Wenche_Foss","1975-08-28","-1","-1"
"http://dbpedia.org/resource/The_Pinchcliffe_Grand_Prix","http://dbpedia.org/resource/Toralv_Maurstad","1975-08-28","-1","-1"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Dean_Martin","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Burt_Lancaster","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Jacqueline_Bisset","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Van_Heflin","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/George_Kennedy","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Helen_Hayes","1970-03-05","146","136"
"http://dbpedia.org/resource/Airport_(1970_film)","http://dbpedia.org/resource/Jean_Seberg","1970-03-05","146","136"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Paul_Reubens","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Penélope_Cruz","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Franka_Potente","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Ray_Liotta","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Jordi_Mollà","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Rachel_Griffiths","2001-04-06","118","170"
"http://dbpedia.org/resource/Blow_(film)","http://dbpedia.org/resource/Johnny_Depp","2001-04-06","118","170"
"http://dbpedia.org/resource/After_the_Thin_Man","http://dbpedia.org/resource/James_Stewart","1936-12-25","42","79"
"http://dbpedia.org/resource/After_the_Thin_Man","http://dbpedia.org/resource/Myrna_Loy","1936-12-25","42","79"
"http://dbpedia.org/resource/After_the_Thin_Man","http://dbpedia.org/resource/Penny_Singleton","1936-12-25","42","79"
"http://dbpedia.org/resource/After_the_Thin_Man","http://dbpedia.org/resource/William_Powell","1936-12-25","42","79"
"http://dbpedia.org/resource/After_the_Thin_Man","http://dbpedia.org/resource/Elissa_Landi","1936-12-25","42","79"
"http://dbpedia.org/resource/American_Movie","http://dbpedia.org/resource/Mark_Borchardt","1999-11-05","39","64"
"http://dbpedia.org/resource/American_Movie","http://dbpedia.org/resource/Mike_Schank","1999-11-05","39","64"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/Humphrey_Bogart","1938-11-26","98","135"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/James_Cagney","1938-11-26","98","135"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/Ann_Sheridan","1938-11-26","98","135"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/George_Bancroft_(actor)","1938-11-26","98","135"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/Dead_End_Kids","1938-11-26","98","135"
"http://dbpedia.org/resource/Angels_with_Dirty_Faces","http://dbpedia.org/resource/Pat_O'Brien_(actor)","1938-11-26","98","135"
"http://dbpedia.org/resource/Champion_(2002_film)","http://dbpedia.org/resource/Yu_Oh-seong","2002-06-28","12","29"
"http://dbpedia.org/resource/Champion_(2002_film)","http://dbpedia.org/resource/Chae_Min-seo","2002-06-28","12","29"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Salma_Hayek","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Suzanne_Snyder","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Matthew_Perry","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/John_Bennett_Perry","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Siobhan_Fallon_Hogan","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Stanley_DeSantis","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Jon_Tenney","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Jill_Clayburgh","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Tomas_Milian","1997-02-14","44","87"
"http://dbpedia.org/resource/Fools_Rush_In_(1997_film)","http://dbpedia.org/resource/Carlos_Gómez_(actor)","1997-02-14","44","87"
"http://dbpedia.org/resource/Give_'em_Hell","_Harry!","http://dbpedia.org/resource/James_Whitmore","1975-09-18","17","58"
"http://dbpedia.org/resource/The_Big_Pond","http://dbpedia.org/resource/Claudette_Colbert","1930-05-03","29","86"
"http://dbpedia.org/resource/The_Big_Pond","http://dbpedia.org/resource/Maurice_Chevalier","1930-05-03","29","86"
"http://dbpedia.org/resource/The_Dove_(1927_film)","http://dbpedia.org/resource/Noah_Beery","_Sr.","1927-12-31","16","70"
"http://dbpedia.org/resource/The_Dove_(1927_film)","http://dbpedia.org/resource/Gilbert_Roland","1927-12-31","16","70"
"http://dbpedia.org/resource/The_Dove_(1927_film)","http://dbpedia.org/resource/Norma_Talmadge","1927-12-31","16","70"
"http://dbpedia.org/resource/The_Face_Behind_the_Mask_(1941_film)","http://dbpedia.org/resource/Don_Beddoe","1941-01-16","15","52"
"http://dbpedia.org/resource/The_Face_Behind_the_Mask_(1941_film)","http://dbpedia.org/resource/Evelyn_Keyes","1941-01-16","15","52"
"http://dbpedia.org/resource/The_Face_Behind_the_Mask_(1941_film)","http://dbpedia.org/resource/Peter_Lorre","1941-01-16","15","52"
"http://dbpedia.org/resource/The_Guardsman","http://dbpedia.org/resource/Alfred_Lunt","1931-11-07","50","80"
"http://dbpedia.org/resource/The_Guardsman","http://dbpedia.org/resource/Lynn_Fontanne","1931-11-07","50","80"
"http://dbpedia.org/resource/The_Hostage_(film)","http://dbpedia.org/resource/Harry_Dean_Stanton","1967-10-23","9","32"
"http://dbpedia.org/resource/The_Hostage_(film)","http://dbpedia.org/resource/John_Carradine","1967-10-23","9","32"
"http://dbpedia.org/resource/The_Hostage_(film)","http://dbpedia.org/resource/Don_O'Kelly","1967-10-23","9","32"
"http://dbpedia.org/resource/The_Lavender_Hill_Mob","http://dbpedia.org/resource/Stanley_Holloway","1951-06-15","90","151"
"http://dbpedia.org/resource/The_Lavender_Hill_Mob","http://dbpedia.org/resource/Alec_Guinness","1951-06-15","90","151"
"http://dbpedia.org/resource/The_Ruling_Class_(film)","http://dbpedia.org/resource/Harry_Andrews","1972-09-13","-1","-1"
"http://dbpedia.org/resource/The_Ruling_Class_(film)","http://dbpedia.org/resource/Alastair_Sim","1972-09-13","-1","-1"
"http://dbpedia.org/resource/The_Ruling_Class_(film)","http://dbpedia.org/resource/Arthur_Lowe","1972-09-13","-1","-1"
"http://dbpedia.org/resource/The_Ruling_Class_(film)","http://dbpedia.org/resource/Peter_O'Toole","1972-09-13","-1","-1"
"http://dbpedia.org/resource/Three_to_Tango","http://dbpedia.org/resource/Matthew_Perry","1999-10-22","47","63"
"http://dbpedia.org/resource/Three_to_Tango","http://dbpedia.org/resource/Cylk_Cozart","1999-10-22","47","63"
"http://dbpedia.org/resource/Three_to_Tango","http://dbpedia.org/resource/Dylan_McDermott","1999-10-22","47","63"
"http://dbpedia.org/resource/Three_to_Tango","http://dbpedia.org/resource/Neve_Campbell","1999-10-22","47","63"
"http://dbpedia.org/resource/Three_to_Tango","http://dbpedia.org/resource/Oliver_Platt","1999-10-22","47","63"
"http://dbpedia.org/resource/1984_(advertisement)","http://dbpedia.org/resource/Anya_Major","1983-12-31","76","88"
"http://dbpedia.org/resource/1984_(advertisement)","http://dbpedia.org/resource/David_Graham_(actor)","1983-12-31","76","88"
"http://dbpedia.org/resource/1984_(advertisement)","http://dbpedia.org/resource/Anya_Major","1984-01-22","76","88"
"http://dbpedia.org/resource/1984_(advertisement)","http://dbpedia.org/resource/David_Graham_(actor)","1984-01-22","76","88"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/Ariana_Richards","1995-09-15","58","163"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/Chris_Owen_(actor)","1995-09-15","58","163"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/Kathy_Bates","1995-09-15","58","163"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/Rita_Moreno","1995-09-15","58","163"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/James_Van_Der_Beek","1995-09-15","58","163"
"http://dbpedia.org/resource/Angus_(film)","http://dbpedia.org/resource/George_C._Scott","1995-09-15","58","163"
"http://dbpedia.org/resource/Annie:_A_Royal_Adventure!","http://dbpedia.org/resource/George_Hearn","1995-11-18","18","73"
