"person","place","date","dbin","dbout"
"http://dbpedia.org/resource/Gilbert_N._Lewis","http://dbpedia.org/resource/Berkeley","_California","1946-03-23","159","183"
"http://dbpedia.org/resource/James_Brown","http://dbpedia.org/resource/Atlanta","2006-12-25","3115","687"
"http://dbpedia.org/resource/Margaret_Mitchell","http://dbpedia.org/resource/Atlanta","1949-08-16","255","204"
"http://dbpedia.org/resource/Robert_Noyce","http://dbpedia.org/resource/Austin","_Texas","1990-06-03","113","134"
"http://dbpedia.org/resource/Satchel_Paige","http://dbpedia.org/resource/Kansas_City","_Missouri","1982-06-08","271","427"
"http://dbpedia.org/resource/Albert_Ghiorso","http://dbpedia.org/resource/Berkeley","_California","2010-12-26","45","60"
"http://dbpedia.org/resource/Elspeth_Rostow","http://dbpedia.org/resource/Austin","_Texas","2007-12-10","10","54"
"http://dbpedia.org/resource/Walt_Whitman_Rostow","http://dbpedia.org/resource/Austin","_Texas","2003-02-13","99","144"
"http://dbpedia.org/resource/Charles_Mann_(songwriter)","http://dbpedia.org/resource/Atlanta","1991-04-24","-1","-1"
"http://dbpedia.org/resource/Chris_Wright_(Canadian_football)","http://dbpedia.org/resource/Atlanta","2005-07-31","12","56"
"http://dbpedia.org/resource/Clinton_Hart_Merriam","http://dbpedia.org/resource/Berkeley","_California","1942-03-19","330","74"
"http://dbpedia.org/resource/Edwin_Anderson_(sport_shooter)","http://dbpedia.org/resource/Atlanta","1943-01-30","-1","-1"
"http://dbpedia.org/resource/Francis_P._Farquhar","http://dbpedia.org/resource/Berkeley","_California","1974-11-21","32","48"
"http://dbpedia.org/resource/Fred_Underwood","http://dbpedia.org/resource/Kansas_City","_Missouri","1906-01-26","8","83"
"http://dbpedia.org/resource/Frederick_George_Novy","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1957-08-08","-1","-1"
"http://dbpedia.org/resource/George_E._Hearn","http://dbpedia.org/resource/Alexandria","_Louisiana","2010-09-11","12","86"
"http://dbpedia.org/resource/Joe_Nanini","http://dbpedia.org/resource/Atlanta","2000","12","25"
"http://dbpedia.org/resource/Joe_Nanini","http://dbpedia.org/resource/Atlanta","2000-12-04","12","25"
"http://dbpedia.org/resource/Lon_Ury","http://dbpedia.org/resource/Kansas_City","_Missouri","1918-03-04","14","58"
"http://dbpedia.org/resource/Mark_Rosenzweig","http://dbpedia.org/resource/Berkeley","_California","2009-07-20","15","70"
"http://dbpedia.org/resource/Monty_Oum","http://dbpedia.org/resource/Austin","_Texas","2015-02-01","4","26"
"http://dbpedia.org/resource/Newt_Joseph","http://dbpedia.org/resource/Kansas_City","_Missouri","1953-01-18","7","46"
"http://dbpedia.org/resource/Obie_Walker","http://dbpedia.org/resource/Atlanta","1989-05-04","6","38"
"http://dbpedia.org/resource/Pinetop_Perkins","http://dbpedia.org/resource/Austin","_Texas","2011-03-21","151","141"
"http://dbpedia.org/resource/Richard_Goldschmidt","http://dbpedia.org/resource/Berkeley","_California","1958-04-24","35","91"
"http://dbpedia.org/resource/Robert_Shaw_(blues_musician)","http://dbpedia.org/resource/Austin","_Texas","1985-05-18","9","102"
"http://dbpedia.org/resource/Rufus_R._Jones","http://dbpedia.org/resource/Kansas_City","_Missouri","1993-11-13","44","76"
"http://dbpedia.org/resource/Theodore_Roszak_(scholar)","http://dbpedia.org/resource/Berkeley","_California","2011-07-05","43","76"
"http://dbpedia.org/resource/Thomas_Francis_Jr.","http://dbpedia.org/resource/Ann_Arbor","_Michigan","1969-10-01","-1","-1"
"http://dbpedia.org/resource/Wayne_Simmons_(American_football)","http://dbpedia.org/resource/Kansas_City","_Missouri","2002-08-23","21","69"
"http://dbpedia.org/resource/Shlomo_Bentin","http://dbpedia.org/resource/Berkeley","_California","2012-07-13","7","89"
"http://dbpedia.org/resource/Wilmer_Allison","http://dbpedia.org/resource/Austin","_Texas","1977-04-20","80","96"
"http://dbpedia.org/resource/Benjamin_Orr","http://dbpedia.org/resource/Atlanta","2000-10-03","91","119"
"http://dbpedia.org/resource/Charles_Evans_Whittaker","http://dbpedia.org/resource/Kansas_City","_Missouri","1973-11-26","62","84"
"http://dbpedia.org/resource/Elizabeth_Fox-Genovese","http://dbpedia.org/resource/Atlanta","2007-01-02","28","87"
"http://dbpedia.org/resource/Irma_Rangel_(Texas_politician)","http://dbpedia.org/resource/Austin","_Texas","2003-03-17","12","114"
"http://dbpedia.org/resource/Joseph_Johnson_(FDNY_Commissioner)","http://dbpedia.org/resource/Atlanta","1942-03-07","10","23"
"http://dbpedia.org/resource/László_Hudec","http://dbpedia.org/resource/Berkeley","_California","1958-10-26","22","87"
"http://dbpedia.org/resource/Mohamed_Lamine_Debaghine","http://dbpedia.org/resource/Algiers","2003-01-23","6","97"
"http://dbpedia.org/resource/Robert_Gammage","http://dbpedia.org/resource/Austin","_Texas","2012-09-10","39","146"
"http://dbpedia.org/resource/Russell_Lee_(photographer)","http://dbpedia.org/resource/Austin","_Texas","1986-08-28","29","71"
"http://dbpedia.org/resource/Serapion_of_Algiers","http://dbpedia.org/resource/Algiers","1240-11-14","6","53"
"http://dbpedia.org/resource/Annie_Webb_Blanton","http://dbpedia.org/resource/Austin","_Texas","1945-10-02","-1","-1"
"http://dbpedia.org/resource/Drew_Hill","http://dbpedia.org/resource/Atlanta","2011-03-19","23","66"
"http://dbpedia.org/resource/Eddie_Mapp","http://dbpedia.org/resource/Atlanta","1931-11-14","5","65"
"http://dbpedia.org/resource/Adras_LaBorde","http://dbpedia.org/resource/Alexandria","_Louisiana","1993-03-06","23","216"
"http://dbpedia.org/resource/Ahmed_Ben_Bella","http://dbpedia.org/resource/Algiers","2012-04-11","149","120"
"http://dbpedia.org/resource/Axel_John_Beck","http://dbpedia.org/resource/Aberdeen","_South_Dakota","1981-09-02","5","44"
"http://dbpedia.org/resource/Betty_Hester","http://dbpedia.org/resource/Atlanta","1998-12-26","5","29"
"http://dbpedia.org/resource/Kartar_Dhillon","http://dbpedia.org/resource/Berkeley","_California","2008-06-15","-1","-1"
"http://dbpedia.org/resource/Otto_Stern","http://dbpedia.org/resource/Berkeley","_California","1969-08-17","79","107"
"http://dbpedia.org/resource/Viktor_Zhivov","http://dbpedia.org/resource/Berkeley","_California","2013-04-17","-1","-1"
"http://dbpedia.org/resource/General_Johnson_(musician)","http://dbpedia.org/resource/Atlanta","2010-10-13","-1","-1"
"http://dbpedia.org/resource/Guy_Humphries","http://dbpedia.org/resource/Alexandria","_Louisiana","2010-03-20","8","151"
"http://dbpedia.org/resource/Herb_Treat","http://dbpedia.org/resource/Kansas_City","_Missouri","1947-04-19","9","46"
"http://dbpedia.org/resource/J._Mack_Robinson","http://dbpedia.org/resource/Atlanta","2014-02-07","10","53"
"http://dbpedia.org/resource/Jack_English_Hightower","http://dbpedia.org/resource/Austin","_Texas","2013-08-03","55","143"
"http://dbpedia.org/resource/James_Cahill_(art_historian)","http://dbpedia.org/resource/Berkeley","_California","2014-02-14","-1","-1"
"http://dbpedia.org/resource/John_E._Rickards","http://dbpedia.org/resource/Berkeley","_California","1927-12-26","16","69"
"http://dbpedia.org/resource/John_Farrell_(second_baseman)","http://dbpedia.org/resource/Kansas_City","_Missouri","1921-05-13","15","56"
"http://dbpedia.org/resource/John_Farrell_(second_baseman)","http://dbpedia.org/resource/Kansas_City","_Missouri","1921-05-14","15","56"
"http://dbpedia.org/resource/John_Thornton_(Louisiana)","http://dbpedia.org/resource/Alexandria","_Louisiana","1917-12-28","28","52"
"http://dbpedia.org/resource/Lil_Phat","http://dbpedia.org/resource/Atlanta","2012-06-07","29","59"
"http://dbpedia.org/resource/Raphael_Sealey","http://dbpedia.org/resource/Berkeley","_California","2013-11-29","7","39"
"http://dbpedia.org/resource/Walter_Bruno_Henning","http://dbpedia.org/resource/Berkeley","_California","1967-01-08","38","98"
"http://dbpedia.org/resource/Ad_Brennan","http://dbpedia.org/resource/Kansas_City","_Missouri","1962-01-07","16","57"
"http://dbpedia.org/resource/Michel_Loève","http://dbpedia.org/resource/Berkeley","_California","1979-02-17","22","85"
"http://dbpedia.org/resource/Ben_Breedlove","http://dbpedia.org/resource/Austin","_Texas","2011-12-25","26","82"
"http://dbpedia.org/resource/Bob_Geigel","http://dbpedia.org/resource/Kansas_City","_Missouri","2014-10-30","71","61"
"http://dbpedia.org/resource/Lamartine_Griffin_Hardman","http://dbpedia.org/resource/Atlanta","1937-02-18","23","83"
