"person","place","date"
"http://dbpedia.org/resource/Hannes_Bok","http://dbpedia.org/resource/Kansas_City,_Missouri",1914-07-02
"http://dbpedia.org/resource/James_L._Jones","http://dbpedia.org/resource/Kansas_City,_Missouri",1943-12-19
"http://dbpedia.org/resource/Virgil_Thomson","http://dbpedia.org/resource/Kansas_City,_Missouri",1896-11-25
"http://dbpedia.org/resource/William_Redington_Hewlett","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1913-05-20
"http://dbpedia.org/resource/Gérard_Buscher","http://dbpedia.org/resource/Algiers",1960-11-05
"http://dbpedia.org/resource/John_McNamara_(writer)","http://dbpedia.org/resource/Ann_Arbor,_Michigan","1962"
"http://dbpedia.org/resource/John_McNamara_(writer)","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1962-04-02
"http://dbpedia.org/resource/Brian_Schatz","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1972-10-20
"http://dbpedia.org/resource/Cap_Boso","http://dbpedia.org/resource/Kansas_City,_Missouri",1962-09-10
"http://dbpedia.org/resource/Colton_Iverson","http://dbpedia.org/resource/Aberdeen,_South_Dakota",1989-06-29
"http://dbpedia.org/resource/Gene_Sperling","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1958-12-24
"http://dbpedia.org/resource/George_M._Foote","http://dbpedia.org/resource/Alexandria,_Louisiana",1919-11-04
"http://dbpedia.org/resource/Islam_Slimani","http://dbpedia.org/resource/Algiers",1988-06-18
"http://dbpedia.org/resource/Jacques_Attali","http://dbpedia.org/resource/Algiers",1943-11-01
"http://dbpedia.org/resource/Jacques_Robert","http://dbpedia.org/resource/Algiers","1928"
"http://dbpedia.org/resource/John_Hughes_(art_director)","http://dbpedia.org/resource/Kansas_City,_Missouri",1882-05-23
"http://dbpedia.org/resource/Ken_Berry_(baseball)","http://dbpedia.org/resource/Kansas_City,_Missouri",1941-05-10
"http://dbpedia.org/resource/Kent_Rathbun","http://dbpedia.org/resource/Kansas_City,_Missouri",1961-04-17
"http://dbpedia.org/resource/Monique_Gabrielle","http://dbpedia.org/resource/Kansas_City,_Missouri",1963-07-30
"http://dbpedia.org/resource/Samuel_C._C._Ting","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1936-01-27
"http://dbpedia.org/resource/Tom_Parker_(baseball)","http://dbpedia.org/resource/Alexandria,_Louisiana",1912-02-12
"http://dbpedia.org/resource/Ben_Foster_(director)","http://dbpedia.org/resource/Kansas_City,_Missouri",1984-06-07
"http://dbpedia.org/resource/Bubby_Brister","http://dbpedia.org/resource/Alexandria,_Louisiana",1962-08-15
"http://dbpedia.org/resource/Larry_Winn","http://dbpedia.org/resource/Kansas_City,_Missouri",1919-08-22
"http://dbpedia.org/resource/Akhil_Amar","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1958-09-06
"http://dbpedia.org/resource/Brian_Smith_(photographer)","http://dbpedia.org/resource/Ames,_Iowa",1959-07-16
"http://dbpedia.org/resource/Connee_Boswell","http://dbpedia.org/resource/Kansas_City,_Missouri",1907-12-03
"http://dbpedia.org/resource/David_Dreier","http://dbpedia.org/resource/Kansas_City,_Missouri",1952-07-05
"http://dbpedia.org/resource/Evan_Bates","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1989-02-23
"http://dbpedia.org/resource/Francis_Xavier_Ransdell","http://dbpedia.org/resource/Alexandria,_Louisiana",1861-05-23
"http://dbpedia.org/resource/Herbert_Dixon_(Louisiana_politician)","http://dbpedia.org/resource/Alexandria,_Louisiana",1949-07-29
"http://dbpedia.org/resource/Jamie_Gold","http://dbpedia.org/resource/Kansas_City,_Missouri",1969-08-25
"http://dbpedia.org/resource/Jennifer_Roberson","http://dbpedia.org/resource/Kansas_City,_Missouri",1953-10-26
"http://dbpedia.org/resource/Jesse_Hockett","http://dbpedia.org/resource/Kansas_City,_Missouri",1983-09-07
"http://dbpedia.org/resource/Joan_Quigley","http://dbpedia.org/resource/Kansas_City,_Missouri",1927-04-10
"http://dbpedia.org/resource/Joseph_E._Ransdell","http://dbpedia.org/resource/Alexandria,_Louisiana",1858-10-07
"http://dbpedia.org/resource/Loren_Crabtree","http://dbpedia.org/resource/Aberdeen,_South_Dakota",1940-09-02
"http://dbpedia.org/resource/Margaret_Spellings","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1957-11-30
"http://dbpedia.org/resource/Nicole_Forester","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1972-11-19
"http://dbpedia.org/resource/Sylvia_Browne","http://dbpedia.org/resource/Kansas_City,_Missouri",1936-10-19
"http://dbpedia.org/resource/Thomas_Hayward_(tenor)","http://dbpedia.org/resource/Kansas_City,_Missouri",1917-12-01
"http://dbpedia.org/resource/Thomas_Huckle_Weller","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1915-06-15
"http://dbpedia.org/resource/Tom_Henke","http://dbpedia.org/resource/Kansas_City,_Missouri",1957-12-21
"http://dbpedia.org/resource/Walt_Bodine","http://dbpedia.org/resource/Kansas_City,_Missouri",1920-08-27
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1912-05-20
"http://dbpedia.org/resource/Dianne_Wiest","http://dbpedia.org/resource/Kansas_City,_Missouri",1948-03-28
"http://dbpedia.org/resource/Elisha_Yaffe","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1983-08-13
"http://dbpedia.org/resource/Alan_Webb_(runner)","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1983-01-13
"http://dbpedia.org/resource/Bill_Gaither_(gospel_singer)","http://dbpedia.org/resource/Alexandria,_Indiana",1936-03-28
"http://dbpedia.org/resource/Lucile_Quarry_Mann","http://dbpedia.org/resource/Ann_Arbor,_Michigan","1897"
"http://dbpedia.org/resource/Pierre-René_Lemas","http://dbpedia.org/resource/Algiers",1951-02-23
"http://dbpedia.org/resource/Richard_Zoglin","http://dbpedia.org/resource/Kansas_City,_Missouri",1948-08-08
"http://dbpedia.org/resource/Farès_Brahimi","http://dbpedia.org/resource/Algiers",1988-10-22
"http://dbpedia.org/resource/Jason_Belser","http://dbpedia.org/resource/Kansas_City,_Missouri",1970-05-28
"http://dbpedia.org/resource/Jason_Holsman","http://dbpedia.org/resource/Kansas_City,_Missouri",1976-03-25
"http://dbpedia.org/resource/John_Coughlin_(figure_skater)","http://dbpedia.org/resource/Kansas_City,_Missouri",1985-12-01
"http://dbpedia.org/resource/John_Hoffman_(baseball)","http://dbpedia.org/resource/Aberdeen,_South_Dakota",1943-10-31
"http://dbpedia.org/resource/Joëlle_Ceccaldi-Raynaud","http://dbpedia.org/resource/Algiers",1951-02-09
"http://dbpedia.org/resource/Larry_Davis_(blues_musician)","http://dbpedia.org/resource/Kansas_City,_Missouri",1936-12-04
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1980-06-19
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1983-04-11
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1983-12-18
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1984-11-21
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1985-08-04
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1985-10-23
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1986-04-29
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1987-01-09
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1987-12-08
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1989-10-02
"http://dbpedia.org/resource/List_of_Playboy_Playmates_of_2009","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1989-12-09
"http://dbpedia.org/resource/Raymond_Allen_(television_actor)","http://dbpedia.org/resource/Kansas_City,_Missouri",1929-03-05
"http://dbpedia.org/resource/John_Chase_(doctor_and_soldier)","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1856-12-10
"http://dbpedia.org/resource/Kevin_Brown_(author)","http://dbpedia.org/resource/Kansas_City,_Missouri",1930-09-03
"http://dbpedia.org/resource/Kevin_Brown_(author)","http://dbpedia.org/resource/Kansas_City,_Missouri",1960-09-03
"http://dbpedia.org/resource/Austin_Nichols","http://dbpedia.org/resource/Ann_Arbor,_Michigan",1980-04-24
