"player","timePeriod","team","from","to"
"http://dbpedia.org/resource/Antonio_Lang","http://dbpedia.org/resource/Antonio_Lang__2","http://dbpedia.org/resource/Cleveland_Cavaliers","1995","1997"
"http://dbpedia.org/resource/Antonio_Lang","http://dbpedia.org/resource/Antonio_Lang__5","http://dbpedia.org/resource/Cleveland_Cavaliers","1998","1999"
"http://dbpedia.org/resource/Chris_Quinn","http://dbpedia.org/resource/Chris_Quinn__6","http://dbpedia.org/resource/Oklahoma_City_Blue","2012","2013"
"http://dbpedia.org/resource/Chris_Quinn","http://dbpedia.org/resource/Chris_Quinn__7","http://dbpedia.org/resource/Cleveland_Cavaliers","2012","2012"
"http://dbpedia.org/resource/Lance_Thomas","http://dbpedia.org/resource/Lance_Thomas__6","http://dbpedia.org/resource/Oklahoma_City_Thunder","2014","2014"
"http://dbpedia.org/resource/Bill_Chamberlain","http://dbpedia.org/resource/Bill_Chamberlain__2","http://dbpedia.org/resource/Kentucky_Colonels","1973","1973"
"http://dbpedia.org/resource/José_Juan_Barea","http://dbpedia.org/resource/José_Juan_Barea__4","http://dbpedia.org/resource/Fort_Worth_Flyers","2007","2007"
"http://dbpedia.org/resource/Ryan_Hollins","http://dbpedia.org/resource/Ryan_Hollins__2","http://dbpedia.org/resource/Fort_Worth_Flyers","2006","2006"
"http://dbpedia.org/resource/Ryan_Hollins","http://dbpedia.org/resource/Ryan_Hollins__5","http://dbpedia.org/resource/Cleveland_Cavaliers","2010","2011"
"http://dbpedia.org/resource/Spencer_Hawes","http://dbpedia.org/resource/Spencer_Hawes__3","http://dbpedia.org/resource/Cleveland_Cavaliers","2013","2013"
"http://dbpedia.org/resource/Gerald_Madkins","http://dbpedia.org/resource/Gerald_Madkins__2","http://dbpedia.org/resource/Cleveland_Cavaliers","1993","1994"
"http://dbpedia.org/resource/James_Harden","http://dbpedia.org/resource/James_Harden__1","http://dbpedia.org/resource/Oklahoma_City_Thunder","2009","2011"
"http://dbpedia.org/resource/Seth_Curry","http://dbpedia.org/resource/Seth_Curry__3","http://dbpedia.org/resource/Cleveland_Cavaliers","2013","2013"
"http://dbpedia.org/resource/Noah_Vonleh","http://dbpedia.org/resource/Noah_Vonleh__2","http://dbpedia.org/resource/Fort_Wayne_Mad_Ants","2014","2014"
"http://dbpedia.org/resource/Tyler_Zeller","http://dbpedia.org/resource/Tyler_Zeller__1","http://dbpedia.org/resource/Cleveland_Cavaliers","2012","2013"
"http://dbpedia.org/resource/LeBron_James","http://dbpedia.org/resource/LeBron_James__1","http://dbpedia.org/resource/Cleveland_Cavaliers","2003","2009"
"http://dbpedia.org/resource/Steve_Kerr","http://dbpedia.org/resource/Steve_Kerr__2","http://dbpedia.org/resource/Cleveland_Cavaliers","1989","1991"
"http://dbpedia.org/resource/Ramon_Sessions","http://dbpedia.org/resource/Ramon_Sessions__2","http://dbpedia.org/resource/Oklahoma_City_Blue","2007","2008"
"http://dbpedia.org/resource/Derek_Fisher","http://dbpedia.org/resource/Derek_Fisher__5","http://dbpedia.org/resource/Oklahoma_City_Thunder","2011","2011"
"http://dbpedia.org/resource/Derek_Fisher","http://dbpedia.org/resource/Derek_Fisher__7","http://dbpedia.org/resource/Oklahoma_City_Thunder","2012","2013"
"http://dbpedia.org/resource/Earl_Watson","http://dbpedia.org/resource/Earl_Watson__4","http://dbpedia.org/resource/Oklahoma_City_Thunder","2005","2008"
"http://dbpedia.org/resource/Nancy_Lieberman","http://dbpedia.org/resource/Nancy_Lieberman__5","http://dbpedia.org/resource/Detroit_Shock","2008","2008"
"http://dbpedia.org/resource/Shaun_Livingston","http://dbpedia.org/resource/Shaun_Livingston__3","http://dbpedia.org/resource/Oklahoma_City_Blue","2009","2009"
"http://dbpedia.org/resource/Shaun_Livingston","http://dbpedia.org/resource/Shaun_Livingston__4","http://dbpedia.org/resource/Oklahoma_City_Thunder","2009","2009"
"http://dbpedia.org/resource/Kendrick_Perkins","http://dbpedia.org/resource/Kendrick_Perkins__2","http://dbpedia.org/resource/Oklahoma_City_Thunder","2010","2014"
"http://dbpedia.org/resource/Nazr_Mohammed","http://dbpedia.org/resource/Nazr_Mohammed__7","http://dbpedia.org/resource/Oklahoma_City_Thunder","2010","2011"
"http://dbpedia.org/resource/Steve_Jones_(basketball)","http://dbpedia.org/resource/Steve_Jones_(basketball)__2","http://dbpedia.org/resource/New_Orleans_Buccaneers","1968","1970"
"http://dbpedia.org/resource/Steve_Jones_(basketball)","http://dbpedia.org/resource/Steve_Jones_(basketball)__5","http://dbpedia.org/resource/Carolina_Cougars","1973","1974"
"http://dbpedia.org/resource/Paul_Stovall","http://dbpedia.org/resource/Paul_Stovall__2","http://dbpedia.org/resource/San_Diego_Sails","1973","1973"
"http://dbpedia.org/resource/Brandon_Bass","http://dbpedia.org/resource/Brandon_Bass__2","http://dbpedia.org/resource/Oklahoma_City_Blue","2006","2006"
"http://dbpedia.org/resource/Ersan_İlyasova","http://dbpedia.org/resource/Ersan_İlyasova__4","http://dbpedia.org/resource/Oklahoma_City_Blue","2005","2006"
"http://dbpedia.org/resource/Lou_Williams","http://dbpedia.org/resource/Lou_Williams__2","http://dbpedia.org/resource/Fort_Worth_Flyers","2006","2006"
"http://dbpedia.org/resource/Rasual_Butler","http://dbpedia.org/resource/Rasual_Butler__6","http://dbpedia.org/resource/Oklahoma_City_Blue","2013","2013"
"http://dbpedia.org/resource/Ryan_Bowen","http://dbpedia.org/resource/Ryan_Bowen__7","http://dbpedia.org/resource/Oklahoma_City_Thunder","2009","2009"
"http://dbpedia.org/resource/Reggie_Jackson_(basketball,_born_1990)","http://dbpedia.org/resource/Reggie_Jackson_(basketball,_born_1990)__1","http://dbpedia.org/resource/Oklahoma_City_Thunder","2011","2014"
"http://dbpedia.org/resource/Reggie_Jackson_(basketball,_born_1990)","http://dbpedia.org/resource/Reggie_Jackson_(basketball,_born_1990)__2","http://dbpedia.org/resource/Oklahoma_City_Blue","2012","2012"
"http://dbpedia.org/resource/Jeremy_Lamb","http://dbpedia.org/resource/Jeremy_Lamb__1","http://dbpedia.org/resource/Oklahoma_City_Thunder","2012","2014"
"http://dbpedia.org/resource/Jeremy_Lamb","http://dbpedia.org/resource/Jeremy_Lamb__2","http://dbpedia.org/resource/Oklahoma_City_Blue","2012","2013"
"http://dbpedia.org/resource/Tim_Hardaway,_Jr.","http://dbpedia.org/resource/Tim_Hardaway,_Jr.__3","http://dbpedia.org/resource/Canton_Charge","2015","2015"
"http://dbpedia.org/resource/Becky_Hammon","http://dbpedia.org/resource/Becky_Hammon__4","http://dbpedia.org/resource/San_Antonio_Stars","2007","2014"
"http://dbpedia.org/resource/Caron_Butler","http://dbpedia.org/resource/Caron_Butler__7","http://dbpedia.org/resource/Oklahoma_City_Thunder","2013","2013"
"http://dbpedia.org/resource/Alan_Anderson_(basketball)","http://dbpedia.org/resource/Alan_Anderson_(basketball)__2","http://dbpedia.org/resource/Oklahoma_City_Blue","2006","2007"
"http://dbpedia.org/resource/Thabo_Sefolosha","http://dbpedia.org/resource/Thabo_Sefolosha__5","http://dbpedia.org/resource/Oklahoma_City_Thunder","2008","2013"
