"person","timePeriod","office","dbin","dbout"
"http://dbpedia.org/resource/Charles_Maurice_de_Talleyrand-Périgord","http://dbpedia.org/resource/Charles_Maurice_de_Talleyrand-Périgord__1","Prime Minister of France","425","296"
"http://dbpedia.org/resource/Étienne_Constantin_de_Gerlache","http://dbpedia.org/resource/Étienne_Constantin_de_Gerlache__1","Prime Minister of Belgium","26","75"
"http://dbpedia.org/resource/Felix_de_Muelenaere","http://dbpedia.org/resource/Felix_de_Muelenaere__1","Prime Minister of Belgium","24","52"
"http://dbpedia.org/resource/Adolphe_Thiers","http://dbpedia.org/resource/Adolphe_Thiers__1","Prime Minister of France","283","190"
"http://dbpedia.org/resource/François_Guizot","http://dbpedia.org/resource/François_Guizot__1","Prime Minister of France","176","225"
"http://dbpedia.org/resource/Joseph_Lebeau","http://dbpedia.org/resource/Joseph_Lebeau__1","Prime Minister of Belgium","42","90"
"http://dbpedia.org/resource/Jean-Baptiste_Nothomb","http://dbpedia.org/resource/Jean-Baptiste_Nothomb__1","Prime Minister of Belgium","34","80"
"http://dbpedia.org/resource/José_Travassos_Valdez","_1st_Count_of_Bonfim","http://dbpedia.org/resource/José_Travassos_Valdez","_1st_Count_of_Bonfim__1","Prime Minister of Portugal","35","156"
"http://dbpedia.org/resource/Sylvain_Van_de_Weyer","http://dbpedia.org/resource/Sylvain_Van_de_Weyer__1","Prime Minister of Belgium","29","67"
"http://dbpedia.org/resource/Cesare_Balbo","http://dbpedia.org/resource/Cesare_Balbo__1","Prime Minister of Sardinia","16","28"
"http://dbpedia.org/resource/Cesare_Alfieri_di_Sostegno","http://dbpedia.org/resource/Cesare_Alfieri_di_Sostegno__1","Prime Minister of Sardinia","9","35"
"http://dbpedia.org/resource/Gabrio_Casati","http://dbpedia.org/resource/Gabrio_Casati__1","Prime Minister of Sardinia","9","57"
